helysegnev;tipus;megye;Járás neve;Járás székhelye;terulet;lakossag;lakosokszama
Berhida;város;Veszprém;Várpalotai;Várpalota;4 272;5758;2042
Berkenye;község;Nógrád;Rétsági;Rétság;1 346;736;301
Berkesd;község;Baranya;Pécsi;Pécs;1 904;783;295
Berkesz;község;Szabolcs-Szatmár-Bereg;Kemecsei;Kemecse;1 318;789;294
Bernecebaráti;község;Pest;Szobi;Szob;3 769;791;465
Berzék;község;Borsod-Abaúj-Zemplén;Miskolci;Miskolc;1 059;1001;340
Berzence;nagyközség;Somogy;Csurgói;Csurgó;5 376;2265;955
Besence;község;Baranya;Sellyei;Sellye;958;95;36
Besenyőd;község;Szabolcs-Szatmár-Bereg;Baktalórántházai;Baktalórántháza;945;679;250
Besenyőtelek;község;Heves;Füzesabonyi;Füzesabony;4 910;2488;1054
Besenyszög;város;Jász-Nagykun-Szolnok;Szolnoki;Szolnok;13 808;3107;1384
Besnyő;község;Fejér;Dunaújvárosi;Dunaújváros;4 464;1741;701
Beszterec;község;Szabolcs-Szatmár-Bereg;Kemecsei;Kemecse;1 159;896;334
Bezedek;község;Baranya;Mohácsi;Mohács;1 136;187;98
Bezenye;község;Győr-Moson-Sopron;Mosonmagyaróvári;Mosonmagyaróvár;3 003;1392;560
Bezeréd;község;Zala;Zalaegerszegi;Zalaegerszeg;1 214;149;141
Bezi;község;Győr-Moson-Sopron;Győri;Győr;1 119;488;201
Biatorbágy;város;Pest;Budakeszi;Budakeszi;4 412;15151;5722
Bicsérd;község;Baranya;Szentlőrinci;Szentlőrinc;1 975;1009;375
Bicske;város;Fejér;Bicskei;Bicske;7 708;11266;4409
Bihardancsháza;község;Hajdú-Bihar;Püspökladányi;Püspökladány;831;142;100
Biharkeresztes;város;Hajdú-Bihar;Berettyóújfalui;Berettyóújfalu;4 926;3856;1633
Biharnagybajom;község;Hajdú-Bihar;Püspökladányi;Püspökladány;6 135;2383;1079
Bihartorda;község;Hajdú-Bihar;Püspökladányi;Püspökladány;2 238;866;398
Biharugra;község;Békés;Sarkadi;Sarkad;5 284;736;528
Bikács;község;Tolna;Paksi;Paks;3 467;381;194
Bikal;község;Baranya;Komlói;Komló;1 703;618;323
Biri;község;Szabolcs-Szatmár-Bereg;Nagykállói;Nagykálló;2 259;1255;526
Birján;község;Baranya;Pécsi;Pécs;907;525;198
Bisse;község;Baranya;Siklósi;Siklós;1 380;208;117
Boba;község;Vas;Celldömölki;Celldömölk;1 095;731;332
Bocfölde;község;Zala;Zalaegerszegi;Zalaegerszeg;868;1159;439
Boconád;község;Heves;Hevesi;Heves;2 956;1214;626
Bócsa;község;Bács-Kiskun;Kiskőrösi;Kiskőrös;9 704;1790;920
Bocska;község;Zala;Nagykanizsai;Nagykanizsa;738;289;128
Bocskaikert;község;Hajdú-Bihar;Hajdúhadházi;Hajdúhadház;1 089;3999;1612
Boda;község;Baranya;Szentlőrinci;Szentlőrinc;1 542;408;169
Bodajk;város;Fejér;Móri;Mór;2 898;3836;1548
Bodmér;község;Fejér;Bicskei;Bicske;717;238;117
Bodolyabér;község;Baranya;Komlói;Komló;909;193;113
Bodonhely;község;Győr-Moson-Sopron;Csornai;Csorna;1 110;353;176
Bodony;község;Heves;Pétervásárai;Pétervására;2 896;680;449
Bodorfa;község;Veszprém;Sümegi;Sümeg;222;79;49
Bodrog;község;Somogy;Kaposvári;Kaposvár;1 478;381;190
Bodroghalom;község;Borsod-Abaúj-Zemplén;Cigándi;Cigánd;2 686;1201;492
Bodrogkeresztúr;község;Borsod-Abaúj-Zemplén;Tokaji;Tokaj;2 988;889;509
Bodrogkisfalud;község;Borsod-Abaúj-Zemplén;Tokaji;Tokaj;1 467;781;419
Bodrogolaszi;község;Borsod-Abaúj-Zemplén;Sárospataki;Sárospatak;2 061;815;390
Bódvalenke;község;Borsod-Abaúj-Zemplén;Edelényi;Edelény;663;296;56
Bódvarákó;község;Borsod-Abaúj-Zemplén;Edelényi;Edelény;922;79;79
Bódvaszilas;község;Borsod-Abaúj-Zemplén;Edelényi;Edelény;1 922;934;445
Bogács;község;Borsod-Abaúj-Zemplén;Mezőkövesdi;Mezőkövesd;2 469;1886;1191
Bogád;község;Baranya;Pécsi;Pécs;784;1063;494
Bogádmindszent;község;Baranya;Sellyei;Sellye;1 158;379;137
Bogdása;község;Baranya;Sellyei;Sellye;2 099;225;120
Bogyiszló;község;Tolna;Tolnai;Tolna;5 593;1982;901
Bogyoszló;község;Győr-Moson-Sopron;Csornai;Csorna;2 622;604;307
Bojt;község;Hajdú-Bihar;Berettyóújfalui;Berettyóújfalu;2 688;492;200
Bókaháza;község;Zala;Keszthelyi;Keszthely;670;254;138
Bokod;község;Komárom-Esztergom;Oroszlányi;Oroszlány;2 993;2082;811
Bokor;község;Nógrád;Pásztói;Pásztó;675;87;66
Boldog;község;Heves;Hatvani;Hatvan;2 674;2897;1158
Boldogasszonyfa;község;Baranya;Szigetvári;Szigetvár;1 722;389;207
Boldogkőújfalu;község;Borsod-Abaúj-Zemplén;Gönci;Gönc;1 098;659;203
Boldogkőváralja;község;Borsod-Abaúj-Zemplén;Gönci;Gönc;2 199;1002;426
Boldva;község;Borsod-Abaúj-Zemplén;Edelényi;Edelény;2 834;2375;798
Bolhás;község;Somogy;Nagyatádi;Nagyatád;3 143;377;183
Bolhó;község;Somogy;Barcsi;Barcs;2 507;671;376
Bóly;város;Baranya;Bólyi;Bóly;2 544;3713;1570
Boncodfölde;község;Zala;Zalaegerszegi;Zalaegerszeg;590;399;139
Bonyhád;város;Tolna;Bonyhádi;Bonyhád;7 214;12163;5547
Bonyhádvarasd;község;Tolna;Bonyhádi;Bonyhád;1 045;382;159
Bonnya;község;Somogy;Tabi;Tab;1 462;222;144
